year,weight,gender,race1r,hispanic,ethnic1r,ager,marital2,hincome,popsize,region,msa,direl,notify,weapon,weapcat,newcrime,newoff,seriousviolent,injury,treatment,vicservices,locationr
2013,3276.91052,2,1,2,1,6,4,5,0,2,2,6,1,2,0,1,4,2,0,0,2,3
2013,5027.59671,2,1,2,1,1,1,5,0,2,2,3,2,3,5,1,4,2,0,0,2,4
2013,3126.31447,2,1,2,1,5,4,88,3,3,1,4,1,3,5,1,4,2,1,2,2,1
2013,3333.90555,2,1,2,1,6,4,5,0,3,2,5,1,2,0,2,5,3,0,0,2,3
2013,2786.08016,2,1,2,1,7,2,7,3,3,1,4,2,2,0,1,4,2,0,0,2,3
2013,4127.05892,1,1,1,4,5,1,7,3,3,1,4,2,2,0,1,4,2,0,0,2,3
2013,2872.6954,1,1,2,1,7,2,5,1,2,2,4,2,2,0,1,4,2,0,0,2,1
2013,4341.56119,1,3,1,4,2,1,6,0,1,2,4,2,2,0,1,4,2,0,0,2,4
2013,4005.85107,1,1,2,1,5,2,7,1,1,3,1,1,1,3,1,3,1,0,0,2,2
2013,3609.10106,1,1,2,1,6,5,7,1,1,2,3,1,2,0,1,4,2,0,0,2,2
2013,2963.74159,2,2,2,2,6,1,2,3,2,1,4,2,2,0,2,5,3,0,0,2,3
2013,5169.98672,1,1,1,4,3,1,88,5,1,1,4,1,2,0,1,2,1,0,0,2,1
2013,6908.34494,1,1,1,4,3,1,88,5,1,1,4,2,2,0,1,4,2,0,0,2,3
2013,3227.81703,2,1,1,4,5,4,1,4,3,1,3,1,1,3,1,3,1,0,0,2,2
2013,5531.7978,1,1,2,1,4,1,7,5,1,1,4,2,2,0,1,4,2,0,0,2,3
2013,3134.85289,2,1,2,1,6,4,4,0,1,2,3,1,2,0,1,4,2,0,0,2,1
2013,4164.45744,2,1,2,1,5,1,88,1,1,3,1,1,2,0,1,1,1,0,0,2,3
2013,3530.11047,1,3,2,3,2,1,2,0,3,3,3,2,2,0,1,4,2,0,0,2,1
2013,2847.87893,1,1,1,4,6,2,7,2,3,2,4,1,2,0,1,4,2,0,0,2,1
2013,1789.83281,2,1,1,4,2,1,5,5,2,1,4,2,2,0,2,5,3,0,0,2,3
2013,2493.52247,1,1,2,1,8,2,88,0,2,2,3,1,2,0,1,4,2,0,0,2,1
2013,3087.62379,2,1,2,1,6,4,5,0,3,2,4,2,2,0,1,4,2,0,0,2,3
2013,3087.62379,2,1,2,1,6,4,5,0,3,2,4,2,2,0,1,4,2,0,0,2,3
2013,3674.76931,1,1,2,1,6,1,7,0,3,2,4,1,2,0,1,4,2,0,0,1,1
2013,4664.99863,1,1,1,4,4,1,88,5,2,1,4,1,1,2,1,3,1,1,2,2,3
2013,2457.01254,2,1,2,1,3,1,7,1,2,2,2,1,2,0,1,4,2,1,1,2,1
2013,3826.74376,2,1,1,4,6,2,88,1,3,2,3,2,2,0,1,4,2,1,2,2,4
2013,3449.46048,1,1,2,1,6,4,88,1,2,1,1,1,1,4,1,3,1,0,0,2,1
2013,4250.14257,2,1,2,1,3,1,7,0,2,2,3,1,1,1,1,3,1,0,0,2,3
2013,2240.62026,1,1,2,1,8,4,88,0,3,3,6,3,2,0,1,4,2,0,0,2,1
2013,1592.23763,1,1,1,4,5,2,88,1,3,2,2,1,2,0,1,4,2,1,2,2,1
2013,3715.61527,2,1,2,1,4,1,2,0,3,2,4,2,2,0,1,4,2,0,0,2,1
2013,5122.30908,2,1,2,1,3,1,7,0,3,2,4,2,2,0,1,4,2,0,0,2,2
2013,1330.72488,2,1,1,4,5,1,4,1,3,2,1,1,1,2,1,3,1,0,0,1,1
2013,3462.1303,1,1,1,4,6,1,3,4,3,1,6,2,2,0,1,2,1,0,0,2,1
2013,1927.44581,1,1,2,1,6,4,7,0,2,2,1,1,1,4,1,3,1,0,0,2,1
2013,3484.78894,1,1,2,1,1,1,88,0,2,3,3,2,2,0,1,4,2,0,0,2,4
2013,3550.81786,1,1,2,1,5,2,4,1,4,3,3,1,2,0,1,4,2,0,0,2,1
2013,4785.91871,2,1,2,1,2,1,88,1,2,2,4,2,2,0,1,4,2,1,1,1,4
2013,3279.60631,1,3,2,3,4,1,4,1,3,2,4,2,3,5,1,4,2,0,0,2,3
2013,2247.47105,1,3,2,3,6,1,88,3,4,1,4,2,2,0,1,2,1,0,0,2,1
2013,2864.91939,2,2,2,2,5,1,5,5,2,1,4,1,1,1,1,2,1,0,0,2,3
2013,3131.91274,2,1,2,1,7,2,88,0,3,2,2,1,1,1,1,2,1,0,0,2,2
2013,4983.26268,1,1,2,1,5,2,5,1,2,2,3,1,1,1,1,3,1,0,0,2,2
2013,1668.4519,1,1,2,1,6,1,88,3,3,1,4,1,3,5,1,2,1,1,2,2,3
2013,4903.75819,1,2,2,2,7,4,1,3,3,1,4,2,2,0,1,2,1,0,0,2,3
2013,2807.31563,2,3,2,3,7,1,88,5,2,1,2,1,3,5,1,4,2,0,0,,2
2013,2807.31563,2,3,2,3,7,1,88,5,2,1,2,1,3,5,1,4,2,0,0,2,1
2013,3578.88279,2,1,2,1,6,4,2,1,3,2,3,1,2,0,1,4,2,0,0,2,2
2013,4100.70267,1,1,2,1,1,1,7,0,3,2,3,2,1,4,1,3,1,0,0,2,4
2013,4248.7295,2,3,2,3,3,1,6,0,3,3,1,2,2,0,1,1,1,1,1,2,1
2013,3216.11143,1,1,2,1,6,4,88,1,1,1,3,1,2,0,1,3,1,1,2,2,1
2013,3615.46889,1,1,2,1,5,2,7,0,3,2,6,2,2,0,2,5,3,0,0,2,3
2013,2852.43767,2,1,2,1,7,5,1,1,1,2,5,2,2,0,1,4,2,0,0,2,2
2013,3077.59712,2,1,1,4,1,1,7,1,3,2,3,1,2,0,1,4,2,1,2,2,4
2013,3077.59712,2,1,1,4,1,1,7,1,3,2,3,1,2,0,1,4,2,1,1,2,4
2013,2599.72437,2,1,1,4,5,1,6,1,4,2,4,2,3,5,2,5,3,0,0,2,2
2013,1403.96025,2,3,2,3,7,4,88,1,3,2,2,1,3,5,1,2,1,0,0,2,1
2013,3035.82155,2,1,2,1,2,1,6,0,1,2,1,2,2,0,1,1,1,1,1,2,2
2013,3445.41041,1,1,2,1,8,2,88,0,4,2,4,1,3,5,1,2,1,0,0,2,3
2013,5343.88062,1,1,2,1,5,1,3,1,1,2,3,2,1,2,1,3,1,0,0,2,1
2013,5343.88062,1,1,2,1,5,1,3,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2013,5343.88062,1,1,2,1,5,1,3,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2013,5343.88062,1,1,2,1,5,1,3,1,1,2,3,2,2,0,1,4,2,0,0,2,1
2013,3747.19846,1,1,2,1,7,2,88,1,1,2,3,1,2,0,1,4,2,0,0,2,1
